Code,Date,Time,Temperature,Wind,Noise,Cloud,Time.obs,Bird.code,Bird.sci,Bird.gen,Bird.sp,Behaviour,Behaviour.type,Plant.common,Plant.sci,Plant.genus,Plant.sp,DBH,Notes
Y31,24/4/2025,7:12,5,2,2,1,7:12,SCJU,Junco hyemalis,Junco,hyemalis,Peck,Foraging,Ground,NA,NA,NA,NA,"Cat on the prowl. Heard: SOSP, PUFI, NOCA, AMRO, AMCR, HOSP, SCJU, COGR, TUVU, WTSP, WBNU, EUST, YBSA."
Y31,24/4/2025,7:12,5,2,2,1,7:12,SCJU,Junco hyemalis,Junco,hyemalis,Peck,Foraging,Ground,NA,NA,NA,NA,
Y31,24/4/2025,7:12,5,2,2,1,7:12,SCJU,Junco hyemalis,Junco,hyemalis,Peck,Foraging,Ground,NA,NA,NA,NA,
Y31,24/4/2025,7:12,5,2,2,1,7:12,SCJU,Junco hyemalis,Junco,hyemalis,Peck,Foraging,Ground,NA,NA,NA,NA,
Y31,24/4/2025,7:12,5,2,2,1,7:12,HOSP,Passer domesticus,Passer,domesticus,Inactive rest,Inactive rest,White cedar,Thuja occidentalis,Thuja,occidentalis,180,Hedge
Y31,24/4/2025,7:12,5,2,2,1,7:14,NOFL,Colaptes auratus,Colaptes,auratus,Inactive rest,Inactive rest,Norway maple,Acer platanoides,Acer,platanoides,45,Tallest tree
Y31,24/4/2025,7:12,5,2,2,1,7:14,HOSP,Passer domesticus,Passer,domesticus,Bill wipe,Grooming,Norway maple,Acer platanoides,Acer,platanoides,45,Righmost tree
Y31,24/4/2025,7:12,5,2,2,1,7:14,AMRO,Turdus migratorius,Turdus,migratorius,Inactive rest,Inactive rest,Ground,NA,NA,NA,NA,
Y31,24/4/2025,7:12,5,2,2,1,7:18,BCCH,Poecile atricapillus,Poecile,atricapillus,Inactive rest,Inactive rest,Norway maple,Acer platanoides,Acer,platanoides,45,Righmost tree
Y31,24/4/2025,7:12,5,2,2,1,7:23,SCJU,Junco hyemalis,Junco,hyemalis,Peck,Foraging,Ground,NA,NA,NA,NA,
Y31,24/4/2025,7:12,5,2,2,1,7:23,SCJU,Junco hyemalis,Junco,hyemalis,Peck,Foraging,Ground,NA,NA,NA,NA,
Y31,24/4/2025,7:12,5,2,2,1,7:23,SCJU,Junco hyemalis,Junco,hyemalis,Peck,Foraging,Ground,NA,NA,NA,NA,
Y31,24/4/2025,7:12,5,2,2,1,7:23,SCJU,Junco hyemalis,Junco,hyemalis,Inactive rest,Inactive rest,Norway maple,Acer platanoides,Acer,platanoides,42,Little tree branch of left tree
Y31,24/4/2025,7:12,5,2,2,1,7:23,SCJU,Junco hyemalis,Junco,hyemalis,Inactive rest,Inactive rest,Norway maple,Acer platanoides,Acer,platanoides,42,Little tree branch of left tree
Y31,24/4/2025,7:12,5,2,2,1,7:25,SCJU,Junco hyemalis,Junco,hyemalis,Vocalising,Vocalisation,Norway maple,Acer platanoides,Acer,platanoides,42,Little tree branch of left tree
Y31,24/4/2025,7:12,5,2,2,1,7:25,SCJU,Junco hyemalis,Junco,hyemalis,Peck,Foraging,Ground,NA,NA,NA,NA,
Y31,24/4/2025,7:12,5,2,2,1,7:25,HOSP,Passer domesticus,Passer,domesticus,Preening,Grooming,White cedar,Thuja occidentalis,Thuja,occidentalis,180,Hedge
Y31,24/4/2025,7:12,5,2,2,1,7:28,RCKI,Corthylio calendula,Corthylio,calendula,Inactive rest,Inactive rest,White cedar,Thuja occidentalis,Thuja,occidentalis,180,Hedge
Y31,24/4/2025,7:12,5,2,2,1,7:29,SCJU,Junco hyemalis,Junco,hyemalis,Peck,Foraging,Ground,NA,NA,NA,NA,
Y31,24/4/2025,7:12,5,2,2,1,7:29,SCJU,Junco hyemalis,Junco,hyemalis,Peck,Foraging,Ground,NA,NA,NA,NA,
Y31,24/4/2025,7:12,5,2,2,1,7:29,SCJU,Junco hyemalis,Junco,hyemalis,Peck,Foraging,Ground,NA,NA,NA,NA,
Y31,24/4/2025,7:12,5,2,2,1,7:30,SCJU,Junco hyemalis,Junco,hyemalis,Vocalising,Vocalisation,Norway maple,Acer platanoides,Acer,platanoides,45,Righmost tree
Y31,24/4/2025,7:12,5,2,2,1,7:31,SCJU,Junco hyemalis,Junco,hyemalis,Inactive rest,Inactive rest,Norway maple,Acer platanoides,Acer,platanoides,43,Middle tree
Y31,24/4/2025,7:12,5,2,2,1,7:31,HOSP,Passer domesticus,Passer,domesticus,Inactive rest,Inactive rest,White cedar,Thuja occidentalis,Thuja,occidentalis,180,Hedge
